Dataset,Model,MAE_3,RMSE_3,MAPE_3,MAE_6,RMSE_6,MAPE_6,MAE_12,RMSE_12,MAPE_12,MAE_all,RMSE_all,MAPE_all
METRLA,HistoricalInertia,6.7969,14.2110,0.1672,6.7965,14.2104,0.1672,6.7952,14.2086,0.1671,6.7964,14.2102,0.1672
METRLA,MLP,3.1074,6.1220,0.0844,3.8079,7.6855,0.1090,4.9284,9.7081,0.1495,3.8353,7.7631,0.1103
METRLA,LSTM,3.0628,6.0795,0.0810,3.7576,7.6378,0.1060,4.8621,9.6615,0.1477,3.7823,7.7153,0.1075
METRLA,GRU,3.0631,6.0746,0.0812,3.7593,7.6437,0.1065,4.8659,9.6829,0.1485,3.7855,7.7245,0.1081
METRLA,WaveNet,3.0816,6.1064,0.0815,3.7805,7.6711,0.1065,4.8978,9.7042,0.1475,3.8074,7.7516,0.1078
METRLA,Transformer,3.0011,5.9327,0.0801,3.5964,7.2608,0.1024,4.4778,9.0408,0.1368,3.5949,7.3198,0.1031
METRLA,Transformer,2.9803,5.8719,0.0793,3.5532,7.1328,0.1014,4.3778,8.8349,0.1329,3.5408,7.1863,0.1013
METRLA,Mamba,3.4361,6.2543,0.0951,3.5958,6.7112,0.1018,4.0115,7.6527,0.1165,3.6478,6.8198,0.1035
METRLA,GCLSTM,2.8419,5.4011,0.0740,3.2477,6.4851,0.0887,3.8122,7.8213,0.1088,3.2346,6.4983,0.0882
METRLA,GCGRU,2.8344,5.3847,0.0740,3.2481,6.4640,0.0887,3.8146,7.7393,0.1077,3.2324,6.4552,0.0879
METRLA,STGCN,2.7977,5.4794,0.0744,3.1709,6.4876,0.0894,3.5985,7.5024,0.1056,3.1255,6.4028,0.0876
METRLA,DCRNN,2.7173,5.3108,0.0702,3.1199,6.4257,0.0855,3.5918,7.6088,0.1044,3.0819,6.3779,0.0845
METRLA,AGCRN,2.8830,5.6383,0.0780,3.2699,6.7348,0.0927,3.6821,7.7428,0.1082,3.2173,6.6227,0.0908
METRLA,GWNET,2.6840,5.1324,0.0690,3.0603,6.1522,0.0834,3.4975,7.2279,0.0998,3.0214,6.1005,0.0820
METRLA,MTGNN,2.6678,5.1568,0.0678,3.0415,6.1898,0.0814,3.4923,7.2958,0.0983,3.0098,6.1517,0.0805
METRLA,StemGNN,3.0086,5.8622,0.0808,3.5582,7.1346,0.1021,4.3232,8.7741,0.1320,3.5438,7.1763,0.1019
METRLA,STNorm,2.8034,5.4988,0.0741,3.1721,6.5372,0.0882,3.5575,7.4810,0.1020,3.1172,6.4193,0.0860
METRLA,GTS,2.7722,5.3221,0.0722,3.1989,6.4018,0.0891,3.6832,7.5160,0.1085,3.1558,6.3444,0.0877
METRLA,STID,2.8054,5.5508,0.0774,3.1722,6.5954,0.0934,3.5452,7.5488,0.1094,3.1146,6.4876,0.0911
METRLA,STWA,2.8470,5.5300,0.0749,3.2294,6.5408,0.0884,3.6576,7.5629,0.1035,3.1849,6.4659,0.0868
METRLA,MegaCRN,2.6237,5.0417,0.0668,3.0142,6.1281,0.0818,3.4765,7.3091,0.0998,2.9759,6.0932,0.0807
METRLA,STAEformer,2.6538,5.1029,0.0692,2.9601,6.0010,0.0818,3.3457,7.0412,0.0978,2.9341,5.9756,0.0809
PEMSBAY,HistoricalInertia,3.0562,7.0315,0.0685,3.0539,7.0270,0.0684,3.0483,7.0145,0.0683,3.0532,7.0253,0.0684
