Dataset,Model,Step,MAE,RMSE,MAPE
METRLA,HistoricalInertia,3,6.7969,14.2110,0.1672
METRLA,HistoricalInertia,6,6.7965,14.2104,0.1672
METRLA,HistoricalInertia,12,6.7952,14.2086,0.1671
METRLA,HistoricalInertia,0,6.7964,14.2102,0.1672

METRLA,MLP,3,3.1074,6.1220,0.0844
METRLA,MLP,6,3.8079,7.6855,0.1090
METRLA,MLP,12,4.9284,9.7081,0.1495
METRLA,MLP,0,3.8353,7.7631,0.1103

METRLA,LSTM,3,3.0628,6.0795,0.0810
METRLA,LSTM,6,3.7576,7.6378,0.1060
METRLA,LSTM,12,4.8621,9.6615,0.1477
METRLA,LSTM,0,3.7823,7.7153,0.1075

METRLA,GRU,3,3.0631,6.0746,0.0812
METRLA,GRU,6,3.7593,7.6437,0.1065
METRLA,GRU,12,4.8659,9.6829,0.1485
METRLA,GRU,0,3.7855,7.7245,0.1081

METRLA,WaveNet,3,3.0816,6.1064,0.0815
METRLA,WaveNet,6,3.7805,7.6711,0.1065
METRLA,WaveNet,12,4.8978,9.7042,0.1475
METRLA,WaveNet,0,3.8074,7.7516,0.1078

METRLA,Transformer,3,3.0011,5.9327,0.0801
METRLA,Transformer,6,3.5964,7.2608,0.1024
METRLA,Transformer,12,4.4778,9.0408,0.1368
METRLA,Transformer,0,3.5949,7.3198,0.1031

METRLA,Transformer,3,2.9803,5.8719,0.0793
METRLA,Transformer,6,3.5532,7.1328,0.1014
METRLA,Transformer,12,4.3778,8.8349,0.1329
METRLA,Transformer,0,3.5408,7.1863,0.1013

METRLA,Mamba,3,3.4361,6.2543,0.0951
METRLA,Mamba,6,3.5958,6.7112,0.1018
METRLA,Mamba,12,4.0115,7.6527,0.1165
METRLA,Mamba,0,3.6478,6.8198,0.1035

METRLA,GCLSTM,3,2.8419,5.4011,0.0740
METRLA,GCLSTM,6,3.2477,6.4851,0.0887
METRLA,GCLSTM,12,3.8122,7.8213,0.1088
METRLA,GCLSTM,0,3.2346,6.4983,0.0882

METRLA,GCGRU,3,2.8344,5.3847,0.0740
METRLA,GCGRU,6,3.2481,6.4640,0.0887
METRLA,GCGRU,12,3.8146,7.7393,0.1077
METRLA,GCGRU,0,3.2324,6.4552,0.0879

METRLA,STGCN,3,2.7977,5.4794,0.0744
METRLA,STGCN,6,3.1709,6.4876,0.0894
METRLA,STGCN,12,3.5985,7.5024,0.1056
METRLA,STGCN,0,3.1255,6.4028,0.0876

METRLA,DCRNN,3,2.7173,5.3108,0.0702
METRLA,DCRNN,6,3.1199,6.4257,0.0855
METRLA,DCRNN,12,3.5918,7.6088,0.1044
METRLA,DCRNN,0,3.0819,6.3779,0.0845

METRLA,AGCRN,3,2.8830,5.6383,0.0780
METRLA,AGCRN,6,3.2699,6.7348,0.0927
METRLA,AGCRN,12,3.6821,7.7428,0.1082
METRLA,AGCRN,0,3.2173,6.6227,0.0908

METRLA,GWNET,3,2.6840,5.1324,0.0690
METRLA,GWNET,6,3.0603,6.1522,0.0834
METRLA,GWNET,12,3.4975,7.2279,0.0998
METRLA,GWNET,0,3.0214,6.1005,0.0820

METRLA,MTGNN,3,2.6678,5.1568,0.0678
METRLA,MTGNN,6,3.0415,6.1898,0.0814
METRLA,MTGNN,12,3.4923,7.2958,0.0983
METRLA,MTGNN,0,3.0098,6.1517,0.0805

METRLA,GMAN,3,2.8406,5.6604,0.0784
METRLA,GMAN,6,3.1137,6.4206,0.0894
METRLA,GMAN,12,3.4595,7.2806,0.1040
METRLA,GMAN,0,3.0996,6.3973,0.0892

METRLA,StemGNN,3,3.0086,5.8622,0.0808
METRLA,StemGNN,6,3.5582,7.1346,0.1021
METRLA,StemGNN,12,4.3232,8.7741,0.1320
METRLA,StemGNN,0,3.5438,7.1763,0.1019

METRLA,STNorm,3,2.8034,5.4988,0.0741
METRLA,STNorm,6,3.1721,6.5372,0.0882
METRLA,STNorm,12,3.5575,7.4810,0.1020
METRLA,STNorm,0,3.1172,6.4193,0.0860

METRLA,GTS,3,2.7722,5.3221,0.0722
METRLA,GTS,6,3.1989,6.4018,0.0891
METRLA,GTS,12,3.6832,7.5160,0.1085
METRLA,GTS,0,3.1558,6.3444,0.0877

METRLA,STID,3,2.8054,5.5508,0.0774
METRLA,STID,6,3.1722,6.5954,0.0934
METRLA,STID,12,3.5452,7.5488,0.1094
METRLA,STID,0,3.1146,6.4876,0.0911

METRLA,STWA,3,2.8470,5.5300,0.0749
METRLA,STWA,6,3.2294,6.5408,0.0884
METRLA,STWA,12,3.6576,7.5629,0.1035
METRLA,STWA,0,3.1849,6.4659,0.0868

METRLA,MegaCRN,3,2.6237,5.0417,0.0668
METRLA,MegaCRN,6,3.0142,6.1281,0.0818
METRLA,MegaCRN,12,3.4765,7.3091,0.0998
METRLA,MegaCRN,0,2.9759,6.0932,0.0807

METRLA,STAEformer,3,2.6538,5.1029,0.0692
METRLA,STAEformer,6,2.9601,6.0010,0.0818
METRLA,STAEformer,12,3.3457,7.0412,0.0978
METRLA,STAEformer,0,2.9341,5.9756,0.0809

METRLA,HimNet,3,2.6108,5.0357,0.0671
METRLA,HimNet,6,2.9607,6.0856,0.0815
METRLA,HimNet,12,3.3837,7.2637,0.0997
METRLA,HimNet,0,2.9285,6.0616,0.0806

METRLA,STDN,3,2.8320,5.8379,0.0778
METRLA,STDN,6,3.2058,6.9222,0.0940
METRLA,STDN,12,3.5738,7.8014,0.1098
METRLA,STDN,0,3.1472,6.7809,0.0917

PEMSBAY,HistoricalInertia,3,3.0562,7.0315,0.0685
PEMSBAY,HistoricalInertia,6,3.0539,7.0270,0.0684
PEMSBAY,HistoricalInertia,12,3.0483,7.0145,0.0683
PEMSBAY,HistoricalInertia,0,3.0532,7.0253,0.0684

PEMSBAY,MLP,3,1.4613,3.1902,0.0303
PEMSBAY,MLP,6,2.0006,4.6412,0.0447
PEMSBAY,MLP,12,2.7598,6.3048,0.0674
PEMSBAY,MLP,0,1.9888,4.7278,0.0452

PEMSBAY,LSTM,3,1.4397,3.1500,0.0299
PEMSBAY,LSTM,6,1.9682,4.5978,0.0441
PEMSBAY,LSTM,12,2.7031,6.2600,0.0667
PEMSBAY,LSTM,0,1.9547,4.6855,0.0447

PEMSBAY,GRU,3,1.4399,3.1533,0.0299
PEMSBAY,GRU,6,1.9673,4.5997,0.0441
PEMSBAY,GRU,12,2.7001,6.2630,0.0668
PEMSBAY,GRU,0,1.9542,4.6894,0.0448

PEMSBAY,WaveNet,3,1.4438,3.1488,0.0300
PEMSBAY,WaveNet,6,1.9733,4.5950,0.0443
PEMSBAY,WaveNet,12,2.7103,6.2568,0.0669
PEMSBAY,WaveNet,0,1.9598,4.6817,0.0449

PEMSBAY,Transformer,3,1.4107,3.0414,0.0297
PEMSBAY,Transformer,6,1.8564,4.2393,0.0424
PEMSBAY,Transformer,12,2.3931,5.5180,0.0590
PEMSBAY,Transformer,0,1.8164,4.2530,0.0419

PEMSBAY,Transformer,3,1.3837,2.9903,0.0292
PEMSBAY,Transformer,6,1.8061,4.1427,0.0414
PEMSBAY,Transformer,12,2.3065,5.3056,0.0569
PEMSBAY,Transformer,0,1.7652,4.1288,0.0408

PEMSBAY,Mamba,3,1.9676,3.9222,0.0455
PEMSBAY,Mamba,6,2.0816,4.2218,0.0484
PEMSBAY,Mamba,12,2.3136,4.7320,0.0542
PEMSBAY,Mamba,0,2.0992,4.2566,0.0488

PEMSBAY,GCLSTM,3,1.3736,2.8793,0.0288
PEMSBAY,GCLSTM,6,1.7348,3.9157,0.0392
PEMSBAY,GCLSTM,12,2.1277,4.9108,0.0511
PEMSBAY,GCLSTM,0,1.6862,3.8823,0.0383

PEMSBAY,GCGRU,3,1.3727,2.8696,0.0288
PEMSBAY,GCGRU,6,1.7287,3.8855,0.0390
PEMSBAY,GCGRU,12,2.1153,4.8531,0.0505
PEMSBAY,GCGRU,0,1.6810,3.8485,0.0380

PEMSBAY,STGCN,3,1.3596,2.8510,0.0287
PEMSBAY,STGCN,6,1.6891,3.7777,0.0378
PEMSBAY,STGCN,12,1.9928,4.5180,0.0466
PEMSBAY,STGCN,0,1.6288,3.6856,0.0365

PEMSBAY,DCRNN,3,1.3150,2.7753,0.0274
PEMSBAY,DCRNN,6,1.6530,3.7703,0.0372
PEMSBAY,DCRNN,12,1.9628,4.5991,0.0468
PEMSBAY,DCRNN,0,1.5911,3.6992,0.0359

PEMSBAY,AGCRN,3,1.3997,2.9367,0.0304
PEMSBAY,AGCRN,6,1.7299,3.9074,0.0394
PEMSBAY,AGCRN,12,2.0135,4.6478,0.0471
PEMSBAY,AGCRN,0,1.6633,3.8008,0.0378

PEMSBAY,GWNET,3,1.3030,2.7428,0.0271
PEMSBAY,GWNET,6,1.6399,3.7230,0.0367
PEMSBAY,GWNET,12,1.9591,4.5293,0.0461
PEMSBAY,GWNET,0,1.5800,3.6447,0.0353

PEMSBAY,MTGNN,3,1.3205,2.7889,0.0276
PEMSBAY,MTGNN,6,1.6421,3.7327,0.0367
PEMSBAY,MTGNN,12,1.9385,4.4676,0.0451
PEMSBAY,MTGNN,0,1.5792,3.6356,0.0352

